,-12.5,-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5
88.5,-128.2819,-127.8632,-127.4451,-127.0276,-126.6106,-126.1943,-125.7786,-125.3635,-124.949,-124.5351,-124.1219,-123.7093,-123.2974,-122.8861,-122.4755,-122.0656,-121.6563,-121.2477,-120.8398,-120.4326,-120.026,-119.6202,-119.2151,-118.8108,-118.4071,-118.0042,-117.6021,-117.2007,-116.8,-116.4002,-116.0011,-115.6028,-115.2053,-114.8085,-114.4126,-114.0175,-113.6233,-113.2299,-112.8373,-112.4455,-112.0547,-111.6647,-111.2756,-110.8873,-110.5,-110.1136,-109.7281,-109.3435,-108.9599,-108.5772,-108.1954,-107.8147,-107.4349,-107.0561,-106.6783,-106.3015,-105.9257,-105.5509,-105.1772,-104.8046,-104.433,-104.0625,-103.6931,-103.3247,-102.9575
89.0,-128.5554,-128.1376,-127.7204,-127.3038,-126.8877,-126.4723,-126.0575,-125.6433,-125.2298,-124.8169,-124.4046,-123.9929,-123.582,-123.1716,-122.762,-122.353,-121.9447,-121.537,-121.1301,-120.7239,-120.3183,-119.9135,-119.5094,-119.106,-118.7034,-118.3015,-117.9004,-117.5,-117.1004,-116.2015,-116.3035,-115.9062,-115.5097,-115.1141,-114.7192,-114.3252,-113.932,-113.5396,-113.1481,-112.7575,-112.3677,-111.9788,-111.5908,-111.2036,-110.8174,-110.4321,-110.0477,-109.6643,-109.2817,-108.9002,-108.5196,-108.14,-107.7613,-107.3837,-107.007,-106.6314,-106.2568,-105.8832,-105.5107,-105.1392,-104.7688,-104.3995,-104.0312,-103.6641,-103.2981
89.5,-128.8303,-128.4134,-127.9971,-127.5813,-127.1662,-126.7517,-126.3378,-125.9246,-125.512,-125.1,-124.6886,-124.2779,-123.8679,-123.4585,-123.0498,-122.6418,-122.2344,-121.8277,-121.4218,-121.0165,-120.612,-120.2082,-119.805,-119.4027,-119.0011,-118.6002,-118.2,-117.8007,-116.9021,-116.0043,-116.1072,-116.211,-115.8156,-115.421,-115.0272,-114.6342,-114.2421,-113.8508,-113.4603,-113.0708,-112.6821,-112.2943,-111.9073,-111.5213,-111.1362,-110.752,-110.3687,-109.9864,-109.605,-109.2245,-108.8451,-108.4666,-108.0891,-107.7126,-107.3371,-106.9626,-106.5892,-106.2168,-105.8454,-105.4751,-105.1059,-104.7378,-104.3707,-104.0048,-103.64
90.0,-129.1065,-128.6905,-128.2751,-127.8603,-127.4461,-127.0325,-126.6195,-126.2072,-125.7955,-125.3844,-124.974,-124.5642,-124.1551,-123.7467,-123.339,-122.9319,-122.5255,-122.1198,-121.7148,-121.3106,-120.907,-120.5041,-120.102,-119.7007,-119.3,-118.9002,-118.5011,-118.1027,-117.7051,-116.8084,-116.9124,-116.5172,-116.1228,-115.7292,-115.3365,-114.9446,-114.5535,-114.1633,-113.7739,-113.3854,-112.9978,-112.6111,-112.2252,-111.8403,-111.4563,-111.0732,-110.691,-110.3098,-109.9295,-109.5502,-109.1719,-108.7945,-108.4182,-108.0428,-107.6685,-107.2952,-106.9229,-106.5516,-106.1814,-105.8123,-105.4443,-105.0774,-104.7115,-104.3468,-103.9832
90.5,-129.3841,-128.969,-128.5545,-128.1405,-127.7272,-127.3146,-126.9025,-126.4911,-126.0803,-125.1702,-125.2607,-124.8519,-124.4438,-124.0363,-123.6295,-123.2234,-122.818,-122.4132,-122.0092,-121.6059,-121.2033,-120.8015,-120.4004,-120.0,-119.6004,-119.2015,-118.8034,-118.4061,-118.0095,-117.6138,-117.2188,-116.8247,-116.4313,-116.0388,-115.6471,-115.2562,-114.8662,-114.4771,-114.0888,-113.7014,-113.3148,-112.9292,-112.5444,-112.1606,-111.7777,-111.3957,-111.0146,-110.6345,-110.2554,-109.8772,-109.5,-109.1238,-108.7486,-108.3744,-108.0012,-107.629,-107.2579,-106.8878,-106.5188,-106.1508,-105.784,-105.4182,-105.0536,-104.69,-104.3276
91.0,-129.663,-129.2488,-128.8352,-128.4222,-128.0098,-127.598,-127.1869,-126.7764,-125.8665,-124.9573,-125.0488,-125.1409,-124.7337,-124.3272,-123.9213,-123.5162,-123.1117,-122.708,-122.3049,-121.9026,-121.501,-121.1002,-120.7,-120.3007,-119.902,-119.5042,-119.1071,-118.7108,-118.3153,-117.9205,-117.5266,-117.1335,-116.7412,-116.3497,-115.959,-115.5692,-115.1803,-112.2922,-114.405,-114.0186,-113.6332,-113.2486,-112.865,-112.4822,-112.1004,-111.7195,-111.3396,-110.9606,-110.5825,-110.2055,-109.8294,-109.4543,-109.0802,-108.7072,-108.3351,-107.9641,-107.5941,-107.2252,-106.8574,-106.4906,-106.1249,-105.7603,-105.3969,-105.0345,-104.6733
91.5,-129.9433,-129.5299,-129.1172,-128.7051,-128.2936,-127.8828,-127.4725,-127.063,-126.6541,-125.7458,-125.8382,-125.4313,-125.025,-124.6194,-124.2145,-123.8103,-123.4068,-123.0041,-122.602,-122.2007,-121.8,-121.4002,-121.001,-120.6027,-120.205,-119.8082,-119.4121,-119.0168,-118.6223,-118.2286,-117.8357,-117.4436,-117.0523,-116.6619,-116.2723,-115.8836,-112.9957,-110.1086,-112.2225,-114.3372,-113.9528,-113.5694,-113.1868,-112.8051,-112.4244,-112.0446,-111.6658,-111.2879,-110.911,-110.5351,-110.1601,-109.7862,-109.4132,-109.0413,-108.6704,-108.3005,-107.9317,-107.5639,-107.1972,-106.8316,-106.4671,-106.1037,-105.7414,-105.3803,-105.0202
92.0,-130.2248,-129.8124,-129.4005,-128.9893,-128.5788,-128.1688,-127.7595,-127.3509,-126.9429,-126.5356,-126.1289,-125.7229,-125.3176,-124.913,-124.509,-124.1058,-123.7033,-123.3015,-122.9004,-122.5,-122.1004,-121.7015,-121.3033,-120.906,-120.5093,-120.1135,-119.7184,-119.3241,-118.9307,-118.538,-118.1461,-117.755,-117.3648,-116.9754,-116.5869,-116.1992,-115.8123,-112.9264,-115.0413,-114.6571,-114.2738,-113.8914,-113.5099,-113.1294,-112.7497,-112.371,-111.9933,-111.6165,-111.2407,-110.8659,-110.4921,-110.1193,-109.7474,-109.3766,-109.0069,-108.6382,-108.2705,-107.9039,-107.5384,-107.1739,-106.8106,-106.4483,-106.0872,-105.7272,-105.3684
92.5,-130.5077,-130.0961,-129.6852,-129.2749,-128.8652,-128.4562,-128.0478,-127.6401,-127.2331,-126.8267,-126.4209,-126.0159,-125.6115,-125.2078,-124.8048,-124.4026,-124.001,-123.6002,-123.2,-122.8007,-122.402,-122.0041,-121.6069,-121.2106,-120.8149,-120.4201,-120.026,-119.6328,-119.2403,-118.8486,-118.4578,-118.0678,-117.6786,-117.2902,-116.9027,-116.5161,-116.1303,-115.7454,-115.3614,-114.9783,-114.596,-114.2147,-113.8343,-113.4548,-113.0763,-112.6987,-112.3221,-111.9464,-111.5717,-111.198,-110.8253,-110.4536,-110.0829,-109.7133,-109.3446,-108.9771,-108.6105,-108.2451,-107.8807,-107.5174,-107.1553,-106.7942,-106.4343,-106.0754,-105.7178
