,-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5
88.5,-,-,-,-,-,-,-,-
89.0,-,-,-,-,-,-,-,-
89.5,-,-,-,-,-,-,-,-
